City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bengkulu,ID,76.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
4,Biak,ID,79.9,clear sky,-0.9131,122.8766,Penginapan Kim
5,Luganville,VU,81.45,light rain,-15.5333,167.1667,The Espiritu Hotel
6,Hobart,AU,66.11,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
7,Cidreira,BR,68.34,clear sky,-30.1811,-50.2056,Hotel Castelo
9,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
16,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
17,Getulio Vargas,UY,71.96,clear sky,-32.6796,-53.5494,
20,Sur,OM,77.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
22,Amuntai,ID,76.19,overcast clouds,-2.4177,115.2494,Hotel Balqis
26,Maumere,ID,82.8,broken clouds,-8.6199,122.2111,Sylvia Hotel
28,Mataura,NZ,67.62,clear sky,-46.1927,168.8643,Ellie's Villa
30,Churu,IN,70.79,clear sky,28.3,74.95,Malji Ka Kamra
31,Monte Patria,CL,75.2,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
32,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
34,New Norfolk,AU,66.76,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
37,Butaritari,KI,79.3,light rain,3.0707,172.7902,Isles Sunset Lodge
38,Hithadhoo,MV,81.39,scattered clouds,-0.6,73.0833,Scoop Guest House
39,Rikitea,PF,74.23,few clouds,-23.1203,-134.9692,People ThankYou
42,Guerrero Negro,MX,78.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
43,Stephenville,US,70.14,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
