City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.66,50,20,26.46,few clouds
1,Evensk,RU,61.95,159.2333,11.21,82,100,5.46,overcast clouds
2,Malatya,TR,38.5,38.0,33.85,60,0,4.61,clear sky
3,Bengkulu,ID,-3.8004,102.2655,76.75,83,100,4.09,overcast clouds
4,Biak,ID,-0.9131,122.8766,79.9,76,8,1.92,clear sky
5,Luganville,VU,-15.5333,167.1667,81.45,77,100,10.11,light rain
6,Hobart,AU,-42.8794,147.3294,66.11,69,20,9.22,few clouds
7,Cidreira,BR,-30.1811,-50.2056,68.34,86,0,11.27,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,53.71,47,0,16.11,clear sky
9,Kapaa,US,22.0752,-159.319,82.38,74,20,4.0,few clouds
10,Severo-Kurilsk,RU,50.6789,156.125,43.59,92,100,8.23,overcast clouds
11,Matagami,CA,49.7502,-77.6328,42.91,81,1,3.44,clear sky
12,Albany,US,42.6001,-73.9662,53.67,70,98,1.01,overcast clouds
13,Cabo San Lucas,MX,22.8909,-109.9124,87.19,57,20,8.05,few clouds
14,Ajaccio,FR,42.0,8.9167,53.65,76,0,8.05,clear sky
15,Vaini,TO,-21.2,-175.2,78.96,83,75,10.36,light intensity shower rain
16,Yulara,AU,-25.2406,130.9889,78.64,22,86,6.91,overcast clouds
17,Getulio Vargas,UY,-32.6796,-53.5494,71.96,67,0,7.72,clear sky
18,Nikolskoye,RU,59.7035,30.7861,46.87,94,100,6.53,light rain
19,Norman Wells,CA,65.282,-126.8329,23.04,86,75,6.91,light snow
20,Sur,OM,22.5667,59.5289,77.13,68,9,8.66,clear sky
21,Ostrovnoy,RU,68.0531,39.5131,31.53,64,99,15.26,light snow
22,Amuntai,ID,-2.4177,115.2494,76.19,88,99,2.15,overcast clouds
23,Scottsbluff,US,41.8666,-103.6672,59.23,31,40,15.01,scattered clouds
24,Kruisfontein,ZA,-34.0033,24.7314,64.04,86,100,5.97,overcast clouds
25,Zhob,PK,31.3411,69.4481,55.62,26,0,2.91,clear sky
26,Maumere,ID,-8.6199,122.2111,82.8,77,60,4.59,broken clouds
27,Yellowknife,CA,62.456,-114.3525,39.42,99,75,5.75,broken clouds
28,Mataura,NZ,-46.1927,168.8643,67.62,52,9,3.51,clear sky
29,Windsor,CA,42.3001,-83.0165,53.96,89,90,6.91,overcast clouds
30,Churu,IN,28.3,74.95,70.79,42,0,4.12,clear sky
31,Monte Patria,CL,-30.6919,-70.9467,75.2,43,3,5.66,clear sky
32,San Cristobal,VE,7.7669,-72.225,75.38,97,100,2.98,overcast clouds
33,Krasnoselkup,RU,65.7,82.4667,0.72,99,82,6.76,broken clouds
34,New Norfolk,AU,-42.7826,147.0587,66.76,45,26,1.74,scattered clouds
35,Saldanha,ZA,-33.0117,17.9442,60.85,97,88,9.08,overcast clouds
36,Kitimat,CA,54.0524,-128.6534,48.58,46,86,5.84,moderate rain
37,Butaritari,KI,3.0707,172.7902,79.3,81,100,8.34,light rain
38,Hithadhoo,MV,-0.6,73.0833,81.39,74,33,14.65,scattered clouds
39,Rikitea,PF,-23.1203,-134.9692,74.23,78,18,6.38,few clouds
40,Cape Town,ZA,-33.9258,18.4232,64.09,84,75,1.99,broken clouds
41,Sioux Lookout,CA,50.1001,-91.917,50.07,62,90,6.91,overcast clouds
42,Guerrero Negro,MX,27.9769,-114.0611,78.57,34,0,12.24,clear sky
43,Stephenville,US,32.2207,-98.2023,70.14,39,1,16.11,clear sky
44,Kudahuvadhoo,MV,2.6708,72.8944,81.34,77,97,8.86,overcast clouds
45,East London,ZA,-33.0153,27.9116,67.17,82,100,21.97,overcast clouds
46,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,80.42,65,56,3.31,broken clouds
47,San Patricio,US,28.017,-97.5169,88.21,21,0,22.91,clear sky
48,Namibe,AO,-15.1961,12.1522,65.77,73,39,9.89,scattered clouds
49,Carnarvon,AU,-24.8667,113.6333,60.87,55,75,10.36,broken clouds
50,Aasiaat,GL,68.7098,-52.8699,15.28,73,100,5.55,overcast clouds
